codsbs,tipcreditosbs,codempsistemafinancierodeuda,codctacontablesbs,codmoneda,tipcondiciondiamorosidad,mtodeudasol,tipclasifriesgoempsistemafinan,codrubroicc,codmes
0065693348,10,00228,15150102000000,0001,0.0,30.25,0,000,202201
0065693348,10,00228,14110206020000,0001,0.0,5551.0,0,004,202201
0065693348,10,00228,14180200000000,0001,0.0,37.61,0,000,202201
0065693348,10,00376,81130200000000,0001,3781.0,628.57,4,000,202201
0103267463,11,00145,14180300000000,0001,0.0,39.06,0,000,202201
0103267463,09,00104,14181300000000,0001,0.0,168.62,0,000,202201
0103267463,11,00145,14110302020000,0001,0.0,4791.52,0,001,202201
0103267463,09,00104,72150313000000,0001,0.0,6824.22,0,000,202201
0103267463,09,00104,14111306010000,0001,0.0,8175.78,0,004,202201
0103267463,11,00145,72150603000000,0001,0.0,14408.48,0,000,202201
0103267463,12,00006,14180300000000,0001,0.0,166.32,0,000,202201
0103267463,09,00104,14111306020000,0001,0.0,14202.5,0,004,202201
0103267463,12,00006,14110306030000,0001,0.0,7697.8,0,004,202201
0103267463,11,00145,81192301000000,0001,0.0,19200.0,0,000,202201
0033661088,09,00104,14181300000000,0001,0.0,5315.61,0,000,202201
0033661088,09,00106,14181300000000,0001,0.0,1200.23,0,000,202201
0033661088,09,00104,81194202020000,0001,0.0,1400.0,0,000,202201
0033661088,09,00106,15150102000000,0001,0.0,21.6,0,000,202201
0033661088,09,00104,14111306020000,0001,0.0,79428.11,0,004,202201
0033661088,09,00104,81194202010000,0001,0.0,68600.0,0,000,202201
0033661088,09,00106,14111306010000,0001,0.0,4688.48,0,004,202201
0033661088,09,00103,14181300000000,0001,0.0,28.04,0,000,202201
0033661088,09,00103,29110101000000,0001,0.0,28.89,0,000,202201
0033661088,09,00106,81194802010000,0001,0.0,27000.0,0,000,202201
0033661088,09,00104,29110101000000,0001,0.0,10.69,0,000,202201
0033661088,99,00103,84140900000000,0001,0.0,13000.0,0,042,202201
0033661088,09,00106,81194802020000,0001,0.0,3000.0,0,000,202201
0033661088,09,00106,84140519000000,0001,0.0,27000.0,0,000,202201
0033661088,09,00103,14111306020000,0001,0.0,6007.72,0,004,202201
0033661088,09,00106,72150313000000,0001,0.0,74311.52,0,000,202201
0033661088,09,00106,14111306020000,0001,0.0,30000.0,0,004,202201
0038468944,11,00002,72150603000000,0001,0.0,1952.1,0,000,202201
0038468944,10,00107,14110206020000,0001,0.0,25000.0,0,004,202201
0038468944,11,00073,81192301000000,0001,0.0,4800.0,0,000,202201
0038468944,11,00001,14110302020000,0001,0.0,1826.54,0,001,202201
0038468944,11,00001,81193703010000,0001,0.0,1826.54,0,000,202201
0038468944,11,00073,72150603000000,0001,0.0,3646.48,0,000,202201
0038468944,12,00073,14110306130000,0001,0.0,6500.0,0,000,202201
0038468944,11,00001,14180300000000,0001,0.0,98.98,0,000,202201
0038468944,11,00001,29110709000000,0001,0.0,100.0,0,000,202201
0038468944,12,00073,14180300000000,0001,0.0,233.62,0,000,202201
0038468944,12,00073,15150102000000,0001,0.0,24.0,0,000,202201
0038468944,11,00002,14180300000000,0001,0.0,1.43,0,000,202201
0038468944,12,00073,15150200000000,0001,0.0,0.33,0,000,202201
0038468944,11,00001,72150603000000,0001,0.0,69.48,0,000,202201
0038468944,11,00002,14110302020000,0001,0.0,147.9,0,001,202201
0038468944,11,00001,81192301000000,0001,0.0,2000.0,0,000,202201
0038468944,11,00073,14110302020000,0001,0.0,1153.52,0,001,202201
0038468944,11,00002,81192301000000,0001,0.0,2100.0,0,000,202201
0038468944,10,00107,14180200000000,0001,0.0,54.46,0,000,202201
0132195056,10,00123,14180200000000,0001,0.0,139.62,0,000,202201
0132195056,10,00123,84140900000000,0001,0.0,3.0,0,042,202201
0132195056,10,00123,72150302010000,0001,0.0,1603.71,0,000,202201
0132195056,10,00123,29110201000000,0001,0.0,3.76,0,000,202201
0132195056,10,00123,14110206020000,0001,0.0,5860.09,0,004,202201
0049139900,10,00228,29110101000000,0001,0.0,3.66,0,000,202201
0049139900,10,00123,84140900000000,0001,0.0,2.0,0,042,202201
0049139900,10,00228,14180200000000,0001,0.0,114.3,0,000,202201
0049139900,10,00123,81181102020000,0001,0.0,101.17,0,000,202201
0049139900,10,00123,14110206020000,0001,0.0,13168.32,0,004,202201
0049139900,10,00103,29110101000000,0001,0.0,31.03,0,000,202201
0049139900,10,00123,72150302010000,0001,0.0,633.3,0,000,202201
0049139900,10,00103,14180200000000,0001,0.0,71.35,0,000,202201
0049139900,10,00228,15150102000000,0001,0.0,12.1,0,000,202201
0049139900,10,00123,29110201000000,0001,0.0,17.18,0,000,202201
0049139900,10,00123,81181102010000,0001,0.0,4957.15,0,000,202201
0049139900,10,00228,14110206020000,0001,0.0,3084.48,0,004,202201
0049139900,99,00103,84140900000000,0001,0.0,10000.0,0,042,202201
0049139900,10,00103,14110206020000,0001,0.0,3251.24,0,004,202201
0049139900,10,00123,84140518000000,0001,0.0,4957.15,0,000,202201
0049139900,10,00123,14180200000000,0001,0.0,263.99,0,000,202201
0049139900,10,00228,84141000000000,0001,0.0,34574.58,0,000,202201
0049139900,10,00103,84141000000000,0001,0.0,3251.24,0,000,202201
0059725181,12,00237,14110306030000,0001,0.0,1500.91,0,004,202201
0059725181,09,00106,14181300000000,0001,0.0,396.73,0,000,202201
0059725181,09,00106,15150102000000,0001,0.0,22.5,0,000,202201
0059725181,11,00072,81192301000000,0001,0.0,930.0,0,000,202201
0059725181,09,00106,14111306020000,0001,0.0,22505.48,0,004,202201
0059725181,11,00072,72150603000000,0001,0.0,930.0,0,000,202201
0059725181,12,00237,14180300000000,0001,0.0,72.5,0,000,202201
0059725181,09,00106,29110101000000,0001,0.0,21.61,0,000,202201
0059725181,09,00112,14111306020000,0001,0.0,20000.0,0,004,202201
0059725181,09,00112,14181300000000,0001,0.0,59.28,0,000,202201
0059725181,09,00112,29110101000000,0001,0.0,84.96,0,000,202201
0087884490,10,00072,81130200000000,0001,2803.0,4166.37,4,000,202201
0087884490,10,00228,14180200000000,0001,0.0,28.73,0,000,202201
0087884490,10,00228,14110206020000,0001,0.0,3388.7,0,004,202201
0087884490,10,00228,15150102000000,0001,0.0,18.47,0,000,202201
0087884490,10,00228,84141000000000,0001,0.0,74551.4,0,000,202201
0071556395,09,00123,84141000000000,0001,0.0,183031.26,0,000,202201
0071556395,09,00112,14181300000000,0001,0.0,2081.76,0,000,202201
0071556395,09,00123,84140900000000,0001,0.0,1.0,0,042,202201
0071556395,12,00006,14180300000000,0001,0.0,14.43,0,000,202201
0071556395,09,00112,14111306020000,0001,0.0,50970.8,0,004,202201
0071556395,09,00123,14111306020000,0001,0.0,91515.63,0,004,202201
0071556395,12,00072,14110306030000,0001,0.0,15560.95,0,004,202201
0071556395,09,00123,14181300000000,0001,0.0,121.9,0,000,202201
0071556395,12,00072,14180300000000,0001,0.0,351.97,0,000,202201
0071556395,12,00006,14110306030000,0001,0.0,2148.06,0,004,202201
0091648563,10,00123,84140900000000,0001,0.0,2.0,0,042,202201
0091648563,10,00144,14110206020000,0001,0.0,3912.66,0,004,202201
0091648563,10,00144,14180200000000,0001,0.0,48.9,0,000,202201
0091648563,10,00123,81180102010000,0001,0.0,4848.33,0,000,202201
0091648563,10,00144,29110101000000,0001,0.0,22.62,0,000,202201
0091648563,10,00144,84140900000000,0001,0.0,3912.66,0,042,202201
0091648563,10,00123,84140511000000,0001,0.0,4848.33,0,000,202201
0091648563,10,00107,14110206020000,0001,0.0,5744.86,0,004,202201
0091648563,10,00123,14180200000000,0001,0.0,195.01,0,000,202201
0091648563,10,00123,81180102020000,0001,0.0,98.95,0,000,202201
0091648563,10,00123,14110206020000,0001,0.0,6962.73,0,004,202201
0092661300,09,00228,14181300000000,0001,0.0,75.08,0,000,202201
0092661300,09,00082,14181300000000,0001,0.0,361.0,0,000,202201
0092661300,09,00228,15150102000000,0001,0.0,19.83,0,000,202201
0092661300,09,00228,14111306020000,0001,0.0,15252.0,0,004,202201
0092661300,09,00082,14111306020000,0001,0.0,22695.33,0,004,202201
0008552223,09,00144,14191301000000,0001,0.0,18210.37,3,026,202201
0008552223,09,00144,84140900000000,0001,0.0,30350.61,3,042,202201
0008552223,09,00144,14111306020000,0001,0.0,30350.61,3,004,202201
0044379368,09,00103,14181300000000,0001,0.0,2463.68,0,000,202201
